Business Name,Trade Name,License Type,License Number,License Date,County,City,Address,Zip,Phone,Email,Hours of Operation
Green Operations LLC,Green Operations LLC,Grower,GAAA-DAKY-AD5M,2022-10-13,Logan,GUTHRIE,9075 ROLLING MEADOWS DR,73044-8623,4693526391,jesussalinasr@gmail.com,8am - 9pm
Thien Huynh LLC,Thien Huynh,Grower,GAAA-KLYY-XHZT,2022-11-08,Oklahoma,oklahoma city,,73115-1813,2067392918,kbgreeneinvestments@gmail.com,9-2
Wado Grow LLC,Wado Grow,Grower,GAAA-XF7W-9RQY,2022-07-18,Jefferson,RYAN,19441 US HIGHWAY 81,73565-5067,6515924273,59chase@gmail.com,6 am-6pm
Pacific Floriograph,Dos Troys Doob Ranch,Grower,GAAA-JFZB-55WY,2023-07-28,Sequoyah,SALLISAW,,74955-5328,2132596171,ryan@dostroys.com,Mon-Fri 6AM - 4PM
"MTT Hidden Valley, LLC",MTT Hidden Valley,Grower,GAAA-Y4DM-TA2W,2022-12-12,Pittsburg,INDIANOLA,8633 ULAN RD,74442-5212,9188618729,troymai220@gmail.com,8-4
"Council Farms, LLC","Council Farms, LLC",Grower,GAAA-OFIZ-M9VA,2022-10-24,Cleveland,OKLAHOMA CITY,11400 S COUNCIL RD,73173-8020,4058314779,bdeen2@hotmail.com,8:00 am - 5:00 pm
"TNT Growers, LLC",TNT Growers,Grower,GAAA-BUKF-MNXL,2023-02-01,Creek,KELLYVILLE,20041 SLICK RD,74039-5739,5392040864,tntgrowers@gmail.com,12a
"SOUTHBOUND SUNSHINE, LLC","SOUTHBOUND SUNSHINE, LLC",Grower,GAAA-IHRC-ZCZF,2023-08-29,Seminole,SEMINOLE,11991 N HIGHWAY 99,74868-9413,(954) 465-9964,info@southboundsunshine.com,9:00AM-5:00PM
Westside Wellness LLC,Westside Wellness,Grower,GAAA-4JX4-GLWS,2022-12-06,Tulsa,SAND SPRINGS,26555 W 55TH ST S,74063-4344,9186718343,westsidewellness420@gmail.com,10am- 9:30pm
Julia Shoua Vang,Julia Shoua Vang.,Grower,GAAA-NJWJ-UFNW,2023-02-01,Delaware,Colcord,51371 S. 679 Rd,74338-4719,(918) 226-1229,jvyang38@outlook.com,6am-12midnight
Stevesons Top Cut,Stevesons Top Cut,Grower,GAAA-OCJA-NYWG,2022-11-27,Grady,NINNEKAH,645 US HIGHWAY 277,73067-4806,4058190772,stevesonstopcut@gmail.com,7am to 7pm Monday - Sunday
"Pinto Gardens, LLC",Pinto Gardens,Grower,GAAA-Q5NA-QI8Q,2023-02-01,Stephens,Duncan,302994 Old Hwy 7,73533,5804673377,pintogardens2020@gmail.com,8:00 AM to 5:00 PM
Blooming Farm LLC,Blooming Farm,Grower,GAAA-VJAE-6IBB,2023-05-09,Sequoyah,SALLISAW,463345 E 1020 RD,74955-4121,(704) 530-7468,bloomingfarm4@gmail.com,8:00 am - 10:00 pm
Hall Howard Cultivations,HandH Grows,Grower,GAAA-95SC-3WSA,2023-05-17,Haskell,STIGLER,106 BALLARD LN,74462-2943,5392370155,hhgrows913@gmail.com,Monday through Friday 8am to 5pm
"Cremdacanna, LLC","Cremdacanna, LLC",Grower,GAAA-UTRO-FCUZ,2023-06-23,Tulsa,TULSA,4178 E ADMIRAL PL,74115,9189399033,wrightluke@me.com,24/7
ESG Farm,ESG Farm,Grower,GAAA-PWFS-MXQL,2022-11-02,Creek,TULSA,8540 W 61ST ST,74131-2000,9189718867,esgfarmtulsa@gmail.com,8-5
MDS Organic LLC,MDS Organic,Grower,GAAA-EJ3T-KBL2,2023-02-17,Le Flore,WISTER,36030 PLEASANT VALLEY RD,74966,8176823336,saraswatib06@gmail.com,24 hours
K5 Industries LLC,K5 Industries LLC,Grower,GAAA-AL5S-HJ0K,2022-11-27,Comanche,FLETCHER,20903 NE LAKE RD,73541-3272,5806950580,k5industries@yahoo.com,8am-5pm
"Jayne Pharms, LLC",Jayne Farms,Grower,GAAA-EB7F-IT6E,2022-12-21,Delaware,JAY,55750 E 360 RD,74346-6953,9183783368,jaynefarms@gmail.com,8 am to 5 pm Monday through Friday
Best Budz Botanicals LLC,BEST BUDZ BOTANICALS,Grower,GAAA-5QQV-AOOB,2023-01-13,Bryan,Mead,119 Business Parkway,73449,(580) 634-8001,andi@topshelfbotancials.com,8am - 5pm
"Golden Leaf Paradise, LLC","Golden Leaf Paradise, LLC",Grower,GAAA-CN6A-4PNN,2022-11-07,Washington,DEWEY,13848 N 3977 Drive,74029-0015,(224) 345-0147,goldenleafparadise@gmail.com,Monday-Friday 8:00 a.m. - 5:00 p.m.
The Good Bush LLC,The Good Bush LLC,Grower,GAAA-4JCQ-PGA4,2022-10-20,Tulsa,TULSA,9928 E 55TH PL,74146-6431,(918) 697-8007,mario.leyva@att.net,8:00 am to 5:00 pm
VALHALLA FARMS LLC,VALHALLA FARMS LLC,Grower,GAAA-ZZ3C-3GAJ,2022-09-22,Creek,MANNFORD,34343 W 61ST ST S,74044-6354,9182106101,valhallafarms2021@gmail.com,1:00 P.M - 3:00 P.M. By appointment only.
MOORE BETTER MEDS INC.,MOORE BETTER MEDS INC.,Grower,GAAA-YP5H-LIQT,2022-12-21,Washington,BARTLESVILLE,,74006,9183317276,shelleyw3075@hotmail.com,0
"Sun Grown Exoticz, LLC","Sun Grown Exoticz, LLC",Grower,GAAA-6HAT-IDUK,2022-10-09,Delaware,COLCORD,16486 E 530 RD,74338,3059061051,christina@viridianlegal.com,12a
Terry Payne,dba Growing Paynes Farms,Grower,GAAA-5F6Z-RKOS,2023-01-12,Okmulgee,MORRIS,17065 HIGHWAY 62,74445,9187567777,tgp1677@gmail.com,Not open to public
Doc G’s Top Tree LLC,Doc G’s Top Tree LLC,Grower,GAAA-ONVW-TYTQ,2023-01-11,Le Flore,SPIRO,16445 CENTRAL ST,74959-4045,9188179087,docg.cannagrow.llc@gmail.com,12-12
Lucky Green Farm LLC,Lucky Green Farm LLC,Grower,GAAA-V1BD-0SPG,2023-03-23,Craig,VINITA,21570 S 4400 RD,74301-5662,2485053672,myjolina01@yahoo.com,8 a.m. - 5 p.m.
"Copperhead Hollow Farms, LLC","Copperhead Hollow Farms, LLC",Grower,GAAA-VJUP-I2NK,2023-02-23,Mayes,SPAVINAW,7280 NE 455 DR,74366-1079,9189372226,chfarmsllc@gmail.com,"6pm-10pm, 6am-10am"
"Kika's Oasis, LLC",Kika's Oasis,Grower,GAAA-K3ND-E6JZ,2023-02-01,Lincoln,STROUD,523 W 2ND ST,74079-4014,6267151488,kikasoasis@gmail.com,9am to 6pm
Rocky L Farm LLC,Rocky L Farm LLC,Grower,GAAA-WGW7-QEFY,2023-02-01,Mayes,Salina,4843 SO 447 RD,74365,9185415545,rockylangston1964@gmail.com,8-5
Joshua Len Martin,Kush Mountain,Grower,GAAA-P1IK-BRP8,2022-04-24,Sequoyah,MULDROW,105294 S 4779 RD,74948-5531,4792595369,joshlmartin@icloud.com,na
Royal Paradise LLC,Royal Paradise LLC,Grower,GAAA-DQXL-UGCZ,2023-02-27,Muskogee,MUSKOGEE,,74401-9218,(516) 513-4969,dodo33ds@gmail.com,8 AM - 5 PM
Greens and Golds Herbals LLC,Greens and Golds Herbals LLC,Grower,GAAA-DBEC-7ORE,2023-05-19,Delaware,JAY,11161 E 380 RD,74346-6492,6517694108,greensandgoldsherbalsllc@gmail.com,8-5
House of flavas llc,House of flavasllc,Grower,GAAA-VKPG-N2RP,2022-08-21,Pottawatomie,SHAWNEE,18703 STEVENS RD,74801-3919,4055505081,houseofflavasok@gmail.com,9am to 5pm
K.O.C. FARMS LLC,KOC FARMS,Grower,GAAA-YJYL-AX6B,2022-12-19,Logan,EDMOND,8160 N NOBLE DR,73034-8277,5806301956,bluexlab@gmail.com,24
Cannabyss Vale LLC,Cannabyss Vale LLC,Grower,GAAA-2GEQ-XPRO,2023-06-02,Delaware,EUCHA,38265 S 510 RD,74342-3122,9183538183,cannabyssxiong@gmail.com,MON-FRI 8AM-8PM
PsyBorg Farms LLC,PsyBorg Farms LLC,Grower,GAAA-4KJU-J9VH,2023-01-11,Payne,STILLWATER,3820 N LAND RUN DR,74075-1139,4057801221,matt@psyborgfarms.com,"Monday - Friday, 8:00 am - 5:00 pm"
"Ten Clouds Farm, LLC",Ten Clouds Farm,Grower,GAAA-NKY5-5HQB,2022-11-15,Lincoln,MEEKER,346844 E 1030 RD,74855-4044,9038182017,kathylansford@gmail.com,M-F 8AM-6PM
The Laughing Goat LLC,"The Laughing Goat, LLC",Grower,GAAA-T72Z-YW93,2022-10-31,Logan,Guthrie,"3051 West Triplett Road, Guthrie, OK 73044",73044,4053263182,thelaughinggoatok@gmail.com,8-6
Exoticz-Gen Farmz LLC,Exoticz-Gen Farmz LLC,Grower,GAAA-NPPB-GGQJ,2022-10-02,Le Flore,SHADY POINT,33123 CALHOUN RD,74956,5597996934,exoticzgenfarmz@gmail.com,8-5
Harvest Sun Farm LLC,Harvest Sun Farm LLC,Grower,GAAA-LUEB-JHEA,2022-10-23,Grady,CHICKASHA,951 COUNTY ROAD 1320,73018-7925,4058188845,harvestsunfarmllc@gmail.com,M-F 10-6
"Triple C Enterprises, LLC","Triple C Enterprises, LLC",Grower,GAAA-NYLS-5ZAM,2023-05-01,Kiowa,HOBART,801 W 9TH ST,73651-5637,5804506502,4mtriplec@gmail.com,8am-8pm
Chunky Buds LLC,CHUNKY BUDS LLC,Grower,GAAA-K9CB-LY9K,2022-09-26,Pottawatomie,KONAWA,47883 TOOLEY RD,74849-5612,(760) 814-3003,smoger325@hotmail.com,undetermined
72Pharms,72Pharms,Grower,GAAA-HJGK-DJVI,2023-07-26,Love,OVERBROOK,1788 ABNER RD,73453-2217,5802228034,72pharms@gmail.com,7am- 7pm
Central Oklahoma's Cannabis Supply LLC,Central Oklahoma's Cannabis Supply LLC,Grower,GAAA-FN2F-RDEO,2022-09-20,Payne,Cushing,6100 Sexton,74023-4819,9186713759,kellyward8589@yahoo.com,7 am to 7pm
"Hidden Leaf, LLC","Hidden Leaf, LLC",Grower,GAAA-EKX3-PVQY,2022-11-24,Rogers,Chelsea,24612 SH-66 E,74016-5072,9188941096,hiddenleafok@gmail.com,8-5
Phresh Harvest LLC,"Phresh Harvest, LLC",Grower,GAAA-EJM3-L2KP,2023-04-25,Logan,Edmond,13001 S KELLY AVE,73025,4053658110,cswylie54@hotmail.com,9am - 6pm
"My American Dream, LLC","My American Dream, LLC",Grower,GAAA-NKUH-E4E4,2022-11-10,Tulsa,COLLINSVILLE,16825 N 105TH EAST AVE,74021-4253,9182154851,christina@viridianlegal.com,12a
World Wellness Warehouse LLC,World Wellness Warehouse LLC,Grower,GAAA-ZGQG-OMMN,2023-03-07,Pawnee,TERLTON,57893 S 36500 RD,74081-3554,(918) 264-9861,worldwellnesswarehouse@gmail.com,7am to 5pm
"Martina, LLC","Martina, LLC",Grower,GAAA-PBZJ-VHSC,2022-07-18,Love,THACKERVILLE,19197 US HIGHWAY 77,73459-9782,5805045466,brendan@bloomingtechnologies.com,10-6
Glory Enterprise LLC,Glory Enterprise LLC,Grower,GAAA-ABYP-OGA8,2022-10-27,Okfuskee,OKEMAH,114140 N 3710 RD,74859-6554,4054813895,tertagaliciouswu@gmail.com,8am - 5pm
Nelms and Family LLC,Nelms and Family LLC,Grower,GAAA-EEOT-GEXS,2023-02-14,Pittsburg,EUFAULA,17 ELMWOOD ST,74432-4400,9184249955,jnelmsfarm@gmail.com,8a-5p
J Brothers Farms LLC,J Brothers Farms llc,Grower,GAAA-DCUH-KZRZ,2023-09-15,Mayes,BIG CABIN,2335 W 350 RD,74332,9186400300,jbrothersfarms@gmail.com,9am to 5 pm
Nature's Cure L.L.C,Nature's Cure L.L.C,Grower,GAAA-41TR-HYME,2022-11-13,Oklahoma,OKLAHOMA CITY,100 SE 29TH ST,73129,4056795859,liztrujillo73500@gmail.com,24 HOURS
Three Hills LLC,Three Hills,Grower,GAAA-VYJ6-BBEI,2022-12-20,Adair,STILWELL,77611 S 4674 RD,74960-6043,9183506982,swordsandsleep@gmail.com,9-5
Euvoax Remedy LLC,Euvoax Remedy,Grower,GAAA-2DZB-CMWS,2023-02-01,Delaware,Colcord,12666 e0490 Road,74338,9186337111,euvoaxremedy@gmail.com,6am-8pm
Dark Matter Cultivators LLC,Dark Matter Cultivators LLC,Grower,GAAA-8BZW-UTU6,2022-10-16,Kingfisher,Crescent,10312 W Trail Rd,73028,5302621325,darkmatterindustriesllc@gmail.com,8am - 6 pm
"GREEN SELECT, LLC",Green Select,Grower,GAAA-4YP3-QQN1,2023-02-08,Pittsburg,MCALESTER,16964 W US HIGHWAY 270,74501-5587,7023353305,phrachanpheng@gmail.com,
CDLL Farm Group LLC,CDLL Farm Group LLC,Grower,GAAA-LUBL-UTD1,2023-10-16,Oklahoma,DEL CITY,,73115-1004,4055890063,cdllfarmgroupllc@gmail.com,M-F 8:00-5:00
Green Woods,Green Woods,Grower,GAAA-VJXK-YLYW,2023-02-28,Payne,GLENCOE,4224 N UNION RD,74032-1358,4056122472,garydwoods60@gmail.com,8-5
"Shades of Green, Inc",Shades of Green,Grower,GAAA-41A0-DW8Z,2023-06-26,Marshall,MADILL,20215 TWO SISTERS RD,73446-8124,5802630106,royce.shades@gmail.com,9am-5pm
RONG HUA LLC,RONG HUA LLC,Grower,GAAA-F81Q-7OEE,2022-10-23,Grady,ALEX,2845 COUNTY STREET 2970,73002-2207,9177561395,ronghuallc@gmail.com,8 AM - 5 PM
Tiffany Hopper,T&J Green Farms,Grower,GAAA-4JYN-MDQO,2023-06-23,McIntosh,EUFAULA,414077 E 1140 RD,74432-5650,9185000606,tjgreenfarms@gmail.com,8am-5pm
Creative Buds LLC,Creative Buds LLC,Grower,GAAA-VJ6Q-URQY,2023-05-26,Creek,BRISTOW,13730 S 417TH WEST AVE,74010-8620,9186338691,creativebuds.oklahoma@gmail.com,6am to 7pm
Dank Depot LLC,Dank Depot LLC,Grower,GAAA-NWIA-MDRL,2022-11-10,Tulsa,TULSA,1855 N 106TH EAST AVE,74116-1510,9186061303,armeankhezri@gmail.com,8am-8pm
"OKsterdam Flower Company, LLC","OKsterdam Flower Company, LLC",Grower,GAAA-PVQC-SDXZ,2023-06-12,Kay,TONKAWA,,74653-4612,(316) 821-9119,sequoyahill4@gmail.com,12a
B and B Growers LLC,B and B Growers LLC,Grower,GAAA-NKKJ-INM3,2023-02-12,Cherokee,PARK HILL,24809 HIGHWAY 82,74451-4089,9188223206,triggerhappytactics@gmail.com,10-1800
Industrial Farms LLC,Industrial Farms LLC,Grower,GAAA-TSSC-4ARH,2022-12-13,Delaware,GROVE,63243 E 280 RD,74344,9183149396,industrialfarmsllc@gmail.com,9am-2pm
GREENRUSH,SIBANNAC,Grower,GAAA-EJGF-SMHB,2023-03-01,Osage,PAWHUSKA,,74056-9756,9183971247,okgreenrush@gmail.com,M-F 10am-5pm
Autumn Hairrell,J&A Ranch,Grower,GAAA-PF62-RXKV,2023-05-26,Pushmataha,CLAYTON,173123 STATE HIGHWAY 2,74536-2416,9184657852,autumnkirkes@msn.com,8am-9pm
Green Horizon Growers,Green Horizon Growers,Grower,GAAA-NKSN-7BQY,2022-12-11,Oklahoma,LUTHER,15700 N TRIPLE XXX RD,73054,4057067360,jamestrent1058@gmail.com,9:00am-5:00pm
STREETZONES LLC,STREETZONES LLC,Grower,GAAA-QWDI-Z0AE,2022-10-31,Pottawatomie,TECUMSEH,33327 HIGHWAY 9,74873-5366,9187213893,streetzonesllc@gmail.com,MONDAY - SATURDAY 9AM -5PM SUNDAY CLOSED
"Weedon Cultivation, LLC","Weedon Cultivation, LLC",Grower,GAAA-J3HF-UGDB,2023-08-22,Murray,SULPHUR,,73086-9357,(972) 740-3713,weedonpharms@yahoo.com,9:00 a.m. to 5:00 p.m.
Root 66 Grass station LLC,Root 66 Grass Station LLC,Grower,GAAA-KFNF-AB7L,2023-01-09,Tulsa,TULSA,6590 E 40TH ST,74145-4517,9187349360,kbsoccer86@yahoo.com,8-5
"Mineral Springs Cannabis Company, LLC",Mineral Springs Cannabis Company,Grower,GAAA-A5BD-NQJU,2022-08-11,Sequoyah,MULDROW,474168 E 1075 RD,74948-7113,4794140807,rc.okla.farming@gmail.com,8-5
VASKOTA LLC,VASKOTA,Grower,GAAA-DQFS-HIBV,2023-05-23,Kingfisher,crescent,2039 N 2980 ROAD,73028,6087452694,vaskotallc@gmail.com,8AM-8PM
Buzz Creek Growery LLC,Buzz Creek Growery,Grower,GAAA-Z6PR-ERCZ,2022-10-23,Pushmataha,SNOW,435048 E 1750 RD,74567-4407,9184246407,stephaniemurry81@yahoo.com,8-5
"YETIVA FARMS, LLC",YETIVA FARMS,Grower,GAAA-N1YQ-R095,2022-10-09,Canadian,EL RENO,16730 W HEFNER RD,73036-7210,4057764040,info.yetivafarms@gmail.com,Monday -Friday 8am - 5pm
"Demeter Farms, LLC",Demeter Farms,Grower,GAAA-KA8F-GUSB,2023-05-01,Oklahoma,OKLAHOMA CITY,4120 S POST RD,73150-2316,4054892259,demeterfarmsllc@gmail.com,M-S 10a-5p
Native Cannabis Cures of Oklahoma LLP,Native Cannabis Cures of Oklahoma LLP,Grower,GAAA-TJDM-WXD0,2022-12-10,Oklahoma,OKLAHOMA CITY,729 SE 29TH ST,73129-4827,4059280420,justin@nativecuresok.com,10 - 10
Happy Bud Growers LLC,Happy Bud Growers LLC,Grower,GAAA-N1TL-0DOL,2023-04-21,Grady,POCASSET,,73079-8204,1 (919) 452-5134,jared7elliott@gmail.com,9am-4pm
South Side Growers LLC,South Side Growers LLC,Grower,GAAA-CHIX-E7CC,2023-01-10,Cleveland,OKLAHOMA CITY,7520 SW 89TH ST,73169-4723,4056423230,nicole.hunsaker@cox.net,9:00am - 5:00pm
Weed Wizards LLC,Weed Wizards,Grower,GAAA-S1KW-DF5F,2023-06-20,Bryan,CALERA,,74730-4808,(580) 924-1155,weedwizards@yahoo.com,4pm - 8pm
High Stakes MMJ LLC,High Stakes MMJ,Grower,GAAA-EY1S-XKA9,2023-04-18,Kay,BRAMAN,9351 N 13TH ST,74632-9123,3166199670,bahlers@att.net,8:00-5:00
SunShine Tomorrow,SunShine Tomorrow,Grower,GAAA-E1PD-IIXI,2023-05-19,Cherokee,HULBERT,10709 W 660 RD,74441-5464,9188518426,tyaaj@live.com,00:00-23:59
Eternal Natural LLC,Eternal Natural,Grower,GAAA-ESWZ-4ELA,2023-07-26,Pottawatomie,TECUMSEH,22676 GADDY RD,74873-6253,(415) 513-8891,eternalnatural22676@gmail.com,9:00am-5:00 pm
M and P Industries LLC,M and P Industries LLC,Grower,GAAA-N1T3-4SGZ,2023-03-22,Lincoln,STROUD,305 1/2 W 12TH ST,74079,(918) 883-9439,tuttlemark@live.com,0800-1700
"Bordwine Farms, LLC",High Class Cannabis Co,Grower,GAAA-415Y-I9BL,2023-04-10,Grady,Chickasha,827 Pikes Peak Road,73018,(405) 222-8820,klewis@bordwinedevelopment.com,8-5
"Johnson Cannabis Company, LLC","Johnson Cannabis Company, LLC",Grower,GAAA-OJJA-KZBP,2023-05-29,Oklahoma,Edmond,21350 N COUNCIL RD,73012,4058338090,unclemikie44@yahoo.com,9 am - 5pm
"Heritage Growers, LLC",Heritage Growers,Grower,GAAA-WLWQ-ZJKY,2022-12-25,Adair,WESTVILLE,75482 S 4749 RD,74965,9188227106,christopher.parrington@kutakrock.com,7 a.m. to 5 p.m.
Sugar Moon Farms LLC,Sugar Moon Farms LLC,Grower,GAAA-2MKR-DSCI,2022-09-26,Grady,ALEX,2453 COUNTY ROAD 1400,73002-2215,4056236278,sugarmoonfarmsllc0@gmail.com,8am-5pm
Green Country Collectives LLC,Green Country Collective,Grower,GAAA-QEM4-PZF6,2023-07-24,Mayes,Locust Grove,8960 S 438 RD,74352,9185437245,steve.harris@1926blaw.com,8:am to 5:00 pm
Golden Harvest Cannabis,Golden Harvest Cannabis,Grower,GAAA-RAL6-BOHR,2022-12-26,Latimer,RED OAK,17434 NE 142ND RD,74563-2275,9184717948,tommyober@yahoo.com,8 to 4 Mon to Sun
"Sky Dance Ranch, LLC",Sky Dance Ranch,Grower,GAAA-85VP-O07O,2022-10-31,Pottawatomie,SHAWNEE,2335 LEO SUN ST,74804,(405) 658-5405,skydanceranchllc@outlook.com,M-F 10:00-6:00
Apex Gardens LC,Apex Gardens LC,Grower,GAAA-7QWW-P34H,2023-08-16,Comanche,GERONIMO,,73543-5143,5804678887,snakecreekfarms@hotmail.com,7-7
"M&L NATURAL GREEN HERBALS, LLC",M&L NATURAL GREEN HERBALS,Grower,GAAA-BLKP-ZADB,2023-03-27,Craig,CHELSEA,24600 S 4260 RD,74016-1920,9185008096,mlnaturalgreenherbals@gmail.com,8 AM - 5 PM
"The Singing Cowboy Ranch, LLC",The Singing Cowboy Ranch,Grower,GAAA-VGI7-D5LM,2023-06-19,Hughes,WETUMKA,,74883,(718) 308-5555,singing.cowboy.ranch@outlook.com,Mon - Fri 10:00 am to 4:00 pm
Heartland Greens LLC,Heartland Greens LLC,Grower,GAAA-N1P6-XOI4,2023-02-01,Oklahoma,OKLAHOMA CITY,13620 SE 126TH ST,73165-7601,4056139949,heartlandgreens@yahoo.com,8am-5pm
Tyson Killer,Tyson Killer,Grower,GAAA-I6HL-JGQX,2022-12-06,Cherokee,TAHLEQUAH,25091 E 727 RD,74464-1916,9184579389,tkil1985@gmail.com,Monday-Friday 9am-5pm
ACE-N-HOLE HYDRO FARM INC,ACE-N-HOLE HYDRO FARM INC,Grower,GAAA-KFLD-DNQT,2023-02-01,Haskell,STIGLER,401 S BK 1406 RD,74462-2726,9187763233,revolutionbookkeeping@gmail.com,9-5
"CB Production Pharm, LLC","CB Production Pharm, LLC",Grower,GAAA-BEDX-D7QX,2023-01-03,Okmulgee,HENRYETTA,10352 FIG RD,74437,9188089644,cbprodpharm@gmail.com,8:00 AM -8:00 PM
2V Growers,Vinson Bud Farm,Grower,GAAA-BDMC-VOCA,2023-01-02,Stephens,DUNCAN,177326 ADAMS RD,73533-9262,5802511399,littlerascal57@yahoo.com,8AM-4PM
okc farmhouse vn llc,okc farmhouse vn llc,Grower,GAAA-VB2B-GZDS,2022-10-19,Oklahoma,OKLAHOMA CITY,1526 SE 27TH ST,73129-7657,4056500225,trinhwin83@gmail.com,24 hours
Sassy Grass Growers LLC,Sassy Grass Growers,Grower,GAAA-EK6T-BCVH,2023-02-08,Grady,BLANCHARD,977 COUNTY STREET 2978,73010-4431,4056646696,sassygrassgrowers@gmail.com,As needed
XIYU LLC,Oklas Cannabis,Grower,GAAA-NKFZ-88QG,2023-03-08,Lincoln,STROUD,,74079,(913) 244-7939,dongranite@hotmail.com,M-F 8am-6pm
"D & D Nursery, LLC","D & D Nursery, LLC",Grower,GAAA-EY1O-BOEC,2023-05-19,Marshall,KINGSTON,102 TITAN RD,73439,5805654007,speedman183@yahoo.com,6:30-3:00
ABB Enterprises LLC,A BETTER BUD,Grower,GAAA-1ETW-T7CC,2023-09-08,Comanche,LAWTON,2411 SW 37TH ST,73505,5805148002,affordable3131@outlook.com,7am-7pm
"CHA FARM, LLC","CHA FARM, LLC",Grower,GAAA-V1JO-N4DV,2023-02-22,Delaware,COLCORD,21776 E 510 RD,74338-4353,9186452671,lorchan@gmail.com,9AM - 5PM
Anderson's Dynasty LLC,Anderson's Dynasty,Grower,GAAA-2LYH-0FUU,2023-02-07,Pittsburg,MCALESTER,216 S A ST,74501-5207,(918) 470-9406,andersonsdynasty@gmail.com,Monday - Friday 10am - 5pm
merwin inc,merwin inc,Grower,GAAA-NJDR-0RP7,2023-10-23,Payne,COYLE,8420 W 92ND ST,73027-6102,4054146379,gumbobuds@gmail.com,7pm to 7am
ROBERT DOWD,ROK GROWERS,Grower,GAAA-E1Q7-UCKE,2023-07-14,Cleveland,OKLAHOMA CITY,14125 S ANDERSON RD,73165-6916,4052292378,rdowd@rdbroadband.net,Monday - Friday 9am - 5pm
"TWO SONS ROOTED, LCC",TSR Growers,Grower,GAAA-NYCJ-QPMT,2022-07-18,Pottawatomie,TECUMSEH,23444 OKAY RD,74873-6458,4053289583,srb7280@gmail.com,8-5
Doobie Bros Farms LLC,Doobie Bros Farms LLC,Grower,GAAA-WQH0-1NSS,2023-07-27,Oklahoma,OKLAHOMA CITY,2412 S NICKLAS AVE,73128-3029,4054363597,eb@doobiebrosfarms.com,9-5
"DEMETER HILLS, LLC",DEMETER HILLS FARM,Grower,GAAA-4RAB-FIV3,2022-09-26,Mayes,STRANG,9934 E 420,74367-3851,9166069346,demeterhillsfarm@gmail.com,10-5
Indo Dream Pharm LLC,Indo Dream Pharm,Grower,GAAA-RQCB-N4WP,2022-11-10,Carter,ARDMORE,2072 STOBTOWN RD,73401-9712,5803400228,renci32@yahoo.com,8am - 5pm
Forever Green Lounge Grow LLC,Forever Green Lounge Grow LLC,Grower,GAAA-EHCI-B76X,2023-08-02,Grady,BLANCHARD,2423 STATE HIGHWAY 39,73010,(918) 852-0578,kimson405@yahoo.com,10AM-7PM
Therapeutic Healing Centers LLC,Therapeutic Healing Centers LLC,Grower,GAAA-SY4J-2V4O,2023-03-21,Tillman,MANITOU,103 Mather Ave,73555,5804188167,oklathc@gmail.com,9-6
Orrick Natural Solutions LLC,Orrick Natural Solutions,Grower,GAAA-M2TA-BGGC,2022-10-20,Bryan,HENDRIX,340 DAIRY RD,74741-1324,2144604280,jude.orrick@yahoo.com,0800 - 1800
Great Plains Enterprises LLC,Great Plains Enterprises LLC,Grower,GAAA-V1ZD-VWVD,2023-06-28,Stephens,DUNCAN,175001 N 2770 RD,73533-9178,4055144107,greatplainsenterprises.llc@gmail.com,8 a.m.-6 p.m.
4K GARDEN LLC,4K GARDEN LLC,Grower,GAAA-YG1R-GNTP,2022-11-24,Tulsa,GLENPOOL,1119 E 151ST ST 100-103,74033,9189719999,licenseandpermit@gmail.com,7am - 9pm
Greene's Organics LLC,Greene's Organics LLC,Grower,GAAA-ZGY5-QX4L,2023-01-02,Grady,BLANCHARD,1500 NW 82ND ST,73010-9030,4056231276,mgproductions22@yahoo.com,7pm - 7am
"Ember Farms, LLC","Ember Farms, LLC",Grower,GAAA-K1PU-WFMV,2023-09-22,Latimer,WISTER,,74966-2912,(281) 415-0303,mgrimes@emberfarms.com,
FHTD LLC,FHTD LLC,Grower,GAAA-QTZH-WDJV,2023-02-01,Hughes,WETUMKA,,74883-9522,9173855202,yidiweng1977@yahoo.com,8 AM - 5 PM
Top Hill LLC,Top Hill LLC,Grower,GAAA-1EJY-ZAZS,2023-07-28,McIntosh,Porum,430823 E. 1151 Rd.,74455,7742090416,tophill74346@gmail.com,8-5
Nitchol Alt,Nitchol alternatives,Grower,GAAA-VJAN-3BVH,2023-02-03,Le Flore,SPIRO,21550 HIGHLINE RD,74959,4797195730,kln1589@yahoo.com,8am-5pm
"Vang 420 Farm, LLC","Vang 420 Farm, LLC",Grower,GAAA-SMNP-JJCM,2022-12-08,Hughes,stuart,5006 NS 383 Rd,74570,4144185746,leeyevang@gmail.com,"Monday-Friday, 6am-4pm"
Lee Mountain Yem LLC,"Lee Mountain Yem, LLC",Grower,GAAA-VJ7G-TCLU,2023-01-10,Mayes,ROSE,7742 S 447 RD,74364-2134,4795028154,christina@viridianlegal.com,12a
"RRF, LLC","RRF, LLC",Grower,GAAA-EJAR-LSDO,2023-02-01,Tulsa,SPERRY,,74073-4772,9186950721,okswami@aol.com,9:00 am to 4:00 pm
Mt. Cannabis,Mt Cannabis,Grower,GAAA-VTHV-PSYX,2022-12-10,Delaware,ROSE,1921 E 580 RD,74364-1649,6513543256,mtcannabisgrow@gmail.com,9am-6pm
